,요양기관명,종별코드명,시군구코드명,주소,전화번호,병원홈페이지,좌표(X),좌표(Y)
0,살루스한의원,한의원,부산연제구,"부산광역시 연제구 거제천로87번길 20, 2층 (거제동)",051-861-2201,,129.1314178,35.1714366
1,살루스한의원,한의원,부산해운대구,"부산광역시 해운대구 센텀동로 25, 상가B동 236호 (우동, 대우월드마크센텀아파트)",051-741-2203,,129.1314178,35.1714366
2,태흥당한의원,한의원,부산해운대구,"부산광역시 해운대구 세실로 75, 일진빌딩 4층 402호 (좌동)",051-701-1075,,129.1767685,35.1712912
3,태흥당한의원,한의원,부산연제구,"부산광역시 연제구 아시아드대로 79, 2층 (거제동)",051-507-3345,,129.1767685,35.1712912
4,태흥당한의원,한의원,부산금정구,"부산광역시 금정구 구서로 7, 2층 (구서동)",051-715-9475,,129.1767685,35.1712912
5,태흥당한의원,한의원,부산사하구,"부산광역시 사하구 낙동남로 1414, 삼영빌딩 2,3층 (하단동)",051-291-9188,,129.1767685,35.1712912
6,태흥당한의원,한의원,부산진구,"부산광역시 부산진구 중앙대로 808, 3층 (전포동, 금정빌딩)",051-714-1393,,129.1767685,35.1712912
7,더힘찬한의원,한의원,부산진구,"부산광역시 부산진구 시민공원로19번길 7, 3층 (부암동)",051-715-8600,,129.1759075,35.1724315
8,더힘찬한의원,한의원,부산해운대구,"부산광역시 해운대구 좌동로 98, 디베르비타 301호 (좌동)",051-703-1075,,129.1759075,35.1724315
9,더힘찬한의원,한의원,부산금정구,"부산광역시 금정구 구서로 14, 태명제1빌딩 2층 (구서동)",051-714-1358,,129.1759075,35.1724315
10,청담플러스의원,의원,부산해운대구,"부산광역시 해운대구 중동2로 16, 해운대온천센터 2층 일부호 (중동)",051-747-5647,,129.164556,35.1634328
11,마린한의원,한의원,부산해운대구,"부산광역시 해운대구 마린시티2로 2, 마린파크 714~5호 (우동)",051-747-5421,,129.1442096,35.15934
12,화이트이치과의원,치과의원,부산진구,"부산광역시 부산진구 중앙대로 694, 쥬디스태화 5층 501일부호 (부전동)",,,129.17504,35.1727024
13,화이트이치과의원,치과의원,부산해운대구,"부산광역시 해운대구 좌동로 93, 해운대농협 3층 (좌동)",051-710-2882,,129.17504,35.1727024
14,화이트이치과의원,치과의원,부산북구,"부산광역시 북구 만덕대로 11-1, 1, 2층 (덕천동)",051-710-2820,,129.17504,35.1727024
15,밝은마음병원,정신병원,부산해운대구,"부산광역시 해운대구 해운대로 575, 2~5층 (우동, 국제빌딩)",051-746-7272,,129.1543774,35.1615007
16,해운대센트럴내과의원,의원,부산해운대구,"부산광역시 해운대구 해운대로 650, 201동 301호 (우동)",051-714-0075,,129.1612447,35.164601
17,강정신건강의학과의원,의원,부산해운대구,"부산광역시 해운대구 양운로 82, 801호 (좌동, 화인크리닉)",051-701-2772,,129.1755732,35.1704651
18,강정신건강의학과의원,의원,부산진구,"부산광역시 부산진구 동평로 422, 6층 (양정동)",051-717-3886,,129.1755732,35.1704651
19,박혜경내과의원,의원,부산해운대구,"부산광역시 해운대구 센텀2로 10, 702호 (우동, 센텀메디컬센터)",051-731-7400,,129.1315304,35.1678325
20,해운대성심요양병원,요양병원,부산해운대구,"부산광역시 해운대구 좌동순환로 462, 지하1층-지상7층 (중동, 성심병원)",051-743-5555,,129.1719387,35.1622486
21,의료법인에벤에셀의료재단 아름다운요양병원,요양병원,부산해운대구,"부산광역시 해운대구 해운대로61번길 47, (재송동)",051-782-7400,,129.1240795,35.193865
22,아름다운피부과의원,의원,부산남구,"부산광역시 남구 분포로 115, 힐탑탑플레이스 A동 202호 (용호동)",051-863-0075,,129.1766569,35.1691635
23,아름다운피부과의원,의원,부산사하구,"부산광역시 사하구 낙동대로 466, 5층 (하단동, 하단오피스)",051-204-8114,,129.1766569,35.1691635
24,아름다운피부과의원,의원,부산연제구,"부산광역시 연제구 월드컵대로 128, 행복한메디컬센타 4~5층 (연산동)",051-863-0655,,129.1766569,35.1691635
25,아름다운피부과의원,의원,부산해운대구,"부산광역시 해운대구 해운대로 802, 313호 (좌동, 웅신시네아트)",051-702-8575,,129.1766569,35.1691635
26,아름다운피부과의원,의원,부산기장군,"부산광역시 기장군 정관면 정관로 561, (정관읍)",051-728-8275,,129.1766569,35.1691635
27,누리사랑외과소아청소년과의원,의원,부산해운대구,"부산광역시 해운대구 해운대로 415, 3층 (우동)",051-747-7550,,129.1411817,35.1669113
28,좋은의원,의원,부산해운대구,"부산광역시 해운대구 아랫반송로 57, 2층 (반송동)",051-543-0360,,129.1509433,35.222804
29,오라클피부과의원,의원,부산해운대구,"부산광역시 해운대구 마린시티2로 33, 104동 724~728호 (우동, 제니스)",051-714-5502,,129.145091,35.156667
30,오라클피부과의원,의원,부산진구,"부산광역시 부산진구 가야대로 784, 9층 (부전동, A플러스메디컬센터)",051-802-8759,,129.145091,35.156667
31,연세엘스의원,의원,부산해운대구,"부산광역시 해운대구 구남로29번길 32, 4층 (중동)",051-702-0059,,129.1621275,35.1623863
32,척바른의원,의원,부산해운대구,"부산광역시 해운대구 재반로 80-1, 2층 (재송동)",051-784-7577,,129.125857,35.1858169
33,뮬피부과의원,의원,부산해운대구,"부산광역시 해운대구 센텀동로 26, B동 201-1호 (우동, 한화꿈에그린센텀)",051-907-2233,,129.132543,35.1720426
34,바로그의원,의원,부산북구,"부산광역시 북구 만덕대로 24, 국민은행 덕천동지점 4층 (덕천동)",051-343-2255,,129.1757451,35.168815
35,바로그의원,의원,부산해운대구,"부산광역시 해운대구 해운대로 794, 엘리움 703호 (좌동)",051-715-8022,,129.1757451,35.168815
36,바로그의원,의원,부산진구,"부산광역시 부산진구 중앙대로691번길 9, 2,3층 (부전동)",051-804-4433,,129.1757451,35.168815
37,바로그의원,의원,부산사하구,"부산광역시 사하구 낙동남로 1412, 경부빌딩 9층 (하단동)",051-202-8272,,129.1757451,35.168815
38,데르마피부과의원,의원,부산해운대구,"부산광역시 해운대구 해운대로 415, 8층 (우동)",051-711-9668,,129.1411817,35.1669113
39,그레이스피부과의원,의원,부산해운대구,"부산광역시 해운대구 좌동순환로 6, L TOWER 10층 (중동)",051-710-1891,,129.1680556,35.1672265
40,당신이소중한치과의원,치과의원,부산해운대구,"부산광역시 해운대구 마린시티2로 33, 104동 729~731호 (우동, 해운대두산위브더제니스)",051-744-2877,,129.145091,35.156667
41,베스트피부과의원,의원,부산해운대구,"부산광역시 해운대구 해운대로 814, 세종월드프라자 603호 일부호 (좌동)",051-701-3330,,129.1776778,35.1695768
42,해운대자생한방병원,한방병원,부산해운대구,"부산광역시 해운대구 해운대로 793, 해운대자생한방병원 (좌동)",051-791-5104,,129.1753321,35.1695324
43,백평한의원,한의원,부산해운대구,"부산광역시 해운대구 윗반송로 64, 지하1층 (반송동)",051-545-1100,,129.1564768,35.2297438
44,수한의원,한의원,부산해운대구,"부산광역시 해운대구 좌동순환로 174, 거성빌딩 403호 (좌동)",051-853-8275,,129.1750479,35.1776265
45,수한의원,한의원,부산진구,"부산광역시 부산진구 서전로 25, (전포동, 이오스프라자302호)",051-852-1079,,129.1750479,35.1776265
46,수한의원,한의원,부산사하구,"부산광역시 사하구 다대로554번길 10, 2층 (다대동)",051-262-0075,,129.1750479,35.1776265
47,수한의원,한의원,부산연제구,"부산광역시 연제구 과정로 140, 2층 (연산동)",051-752-7575,,129.1750479,35.1776265
48,금호한의원,한의원,부산해운대구,"부산광역시 해운대구 재반로 79, 1층 (재송동)",051-781-0965,,129.12565,35.1854419
49,코코한의원,한의원,부산해운대구,"부산광역시 해운대구 해운대로 802, 315호 (좌동, 웅신시네아트)",051-702-8253,,129.1766569,35.1691635
50,소마한의원,한의원,부산해운대구,"부산광역시 해운대구 해운대로 620, 해운대 라뮤에뜨 227호 (우동)",051-784-7637,,129.1584586,35.1629713
51,진한의원,한의원,부산금정구,"부산광역시 금정구 온천장로125번길 6, (장전동, 영승빌딩202호)",051-518-1275,http://www.thenabee.com,129.1757451,35.168815
52,진한의원,한의원,부산북구,"부산광역시 북구 효열로 222, 3층 (금곡동, 화목빌딩)",051-363-5453,http://www.thenabee.com,129.1757451,35.168815
53,진한의원,한의원,부산해운대구,"부산광역시 해운대구 해운대로 794, 601호 (좌동, 삼정엘리움)",051-714-0040,http://www.thenabee.com,129.1757451,35.168815
54,약동한의원,한의원,부산해운대구,"부산광역시 해운대구 해운대로 814, 세종월드프라자 601-3, 601-4호 (좌동)",051-704-1500,,129.1776778,35.1695768
55,센텀시티의원,의원,부산해운대구,"부산광역시 해운대구 센텀중앙로 145, 상가7동 103-2호 (재송동, 더샵센텀파크1차아파트)",051-926-1100,,129.1219424,35.1788329
56,두드림정형외과의원,의원,부산해운대구,"부산광역시 해운대구 세실로 43, 경동코아 2층 (좌동)",051-702-8788,,129.17845,35.1687646
57,리안성모안과의원,의원,부산해운대구,"부산광역시 해운대구 해운대로 650, 201동 401호 (우동)",051-715-7766,http://leeahneye.com/,129.1613426,35.1646577
58,유디해운대치과의원,치과의원,부산해운대구,"부산광역시 해운대구 해운대해변로298번길 24, (중동, 팔레드시즈 22,23,25,26)",051-743-2825,,129.1666037,35.1602157
59,다담한의원,한의원,부산해운대구,"부산광역시 해운대구 재반로 200-1, 2층 (반여동)",051-783-1075,,129.1308324,35.1951307
60,다정의원,의원,부산해운대구,"부산광역시 해운대구 아랫반송로 25-1, 2~3층 (반송동)",051-544-3636,,129.1488967,35.2249677
61,이노의원,의원,부산해운대구,"부산광역시 해운대구 해운대로 620, 해운대 라뮤에뜨 305호~309호 (우동)",051-968-2828,,129.1584586,35.1629713
62,약손한의원,한의원,부산영도구,"부산광역시 영도구 동삼로 23, 2층 (동삼동)",051-405-7501,,129.1211765,35.19028
63,약손한의원,한의원,부산남구,"부산광역시 남구 분포로 61, 빌리브센트로 A215~A217호 (용호동)",051-621-7501,,129.1211765,35.19028
64,약손한의원,한의원,부산해운대구,"부산광역시 해운대구 해운대로81번길 12, 2층 (재송동)",051-543-0102,,129.1211765,35.19028
65,약손한의원,한의원,부산동래구,"부산광역시 동래구 아시아드대로 225, (온천동)",051-501-0800,,129.1211765,35.19028
66,어썸치과의원,치과의원,부산해운대구,"부산광역시 해운대구 센텀남대로 50, 센템임페리얼타워 902호 (우동)",051-741-2875,,129.1313001,35.1681037
67,삼성리한여성의원,의원,부산해운대구,"부산광역시 해운대구 해운대로 802, 웅신시네아트 B동 203호 (좌동)",051-929-0100,,129.1766569,35.1691635
68,설상훈심사랑내과의원,의원,부산해운대구,"부산광역시 해운대구 해운대로 814, 세종월드프라자 B동 526호, 527호 일부호 (좌동)",051-715-3088,,129.1776778,35.1695768
69,센텀아이피엠의원,의원,부산해운대구,"부산광역시 해운대구 센텀중앙로 48, 에이스하이테크21 310~311호 (우동)",051-744-5321,,129.1299025,35.1730231
70,태극한의원,한의원,부산해운대구,"부산광역시 해운대구 우동1로 75, (우동)",051-741-7625,,129.1568884,35.1680141
71,해운대센텀이비인후과의원,의원,부산해운대구,"부산광역시 해운대구 해운대로 369, 8층 (우동, 해운대센텀메디칼센타)",051-747-6700,http://www.ent21.co.kr,129.1377353,35.1702057
72,반송쾌한의원,한의원,부산해운대구,"부산광역시 해운대구 신반송로 208, 2층 (반송동)",051-545-2518,,129.1575904,35.2307114
73,금강치과의원,치과의원,부산서구,"부산광역시 서구 대영로 50, 2층 (서대신동1가)",051-241-6316,,129.1832772,35.1691765
74,금강치과의원,치과의원,부산해운대구,"부산광역시 해운대구 좌동순환로 301, 201호 (좌동)",051-704-2875,,129.1832772,35.1691765
75,문훈치과의원,치과의원,부산해운대구,"부산광역시 해운대구 재반로 253-1, (반여동)",051-781-9917,,129.1312945,35.1999915
76,사랑모아치과의원,치과의원,부산해운대구,"부산광역시 해운대구 해운대로 802, 웅신시네아트 2층 210호 (좌동)",051-702-2080,,129.1766569,35.1691635
77,웨이브치과의원,치과의원,부산해운대구,"부산광역시 해운대구 재반로 80-1, 3층 (재송동)",051-783-2860,,129.125857,35.1858169
78,센텀태흥당한의원,한의원,부산해운대구,"부산광역시 해운대구 센텀2로 28, 2층 202호 (우동)",051-711-9975,,129.1327004,35.1663585
79,재생플란트치과의원,치과의원,부산해운대구,"부산광역시 해운대구 센텀2로 25, 센텀드림월드 203호 (우동)",051-747-2804,,129.132947,35.1669544
80,e-청담한의원,한의원,부산해운대구,"부산광역시 해운대구 좌동순환로 181, 3층 (좌동, 진성빌딩)",051-701-5559,,129.1760224,35.1779775
81,가온누리한의원,한의원,부산해운대구,"부산광역시 해운대구 센텀2로 29, 701-1호 (우동, 센텀메커스빌딩)",051-808-2575,,129.133197,35.1666656
82,선한한의원,한의원,부산해운대구,"부산광역시 해운대구 청사포로 16, 201호 (좌동)",051-702-1075,,129.1837505,35.1662548
83,한미치과의원,치과의원,부산사하구,"부산광역시 사하구 낙동대로 413, 109,110호 (하단동)",051-711-2975,,129.1183779,35.1988013
84,한미치과의원,치과의원,부산해운대구,"부산광역시 해운대구 선수촌로 55, (반여동)",051-524-2875,,129.1183779,35.1988013
85,산사나무한의원,한의원,부산해운대구,"부산광역시 해운대구 세실로 33, 301호 (좌동)",051-704-3475,,129.1789577,35.168018
86,유진한의원,한의원,부산사하구,"부산광역시 사하구 낙동대로 201, 2층 (괴정동)",051-201-1222,,129.1632532,35.1625515
87,유진한의원,한의원,부산해운대구,"부산광역시 해운대구 중동1로 33-1, 2층 (중동)",051-747-7234,,129.1632532,35.1625515
88,온누리한의원,한의원,부산해운대구,"부산광역시 해운대구 해운대로 369, 해운대센텀메디칼센터 2층 일부호 (우동)",051-742-7555,,129.1377353,35.1702057
89,호호미한의원,한의원,부산해운대구,"부산광역시 해운대구 선수촌로 89-1, 3층 (반여동)",051-715-5505,,129.1191357,35.2018129
90,미앤미의원,의원,부산진구,"부산광역시 부산진구 서면로 50, 2층 (부전동)",051-807-1175,,129.1325792,35.1674411
91,미앤미의원,의원,부산해운대구,"부산광역시 해운대구 센텀2로 19, 센텀코아 702호 (우동)",051-743-1171,,129.1325792,35.1674411
92,센트럴성모안과의원,의원,부산해운대구,"부산광역시 해운대구 해운대로 814, 세종월드프라자 A동 501-2호 (좌동)",051-701-5111,,129.1776778,35.1695768
93,예인치과의원,치과의원,부산해운대구,"부산광역시 해운대구 중동2로 16, 3층 (중동, 해운대온천센타)",051-746-6221,,129.164556,35.1634328
94,예인치과의원,치과의원,부산금정구,"부산광역시 금정구 부산대학로 23, 5,6층 (장전동)",051-514-2829,,129.164556,35.1634328
95,예인치과의원,치과의원,부산진구,"부산광역시 부산진구 성지로 75, (초읍동)",051-818-2877,,129.164556,35.1634328
96,리즈의원,의원,부산해운대구,"부산광역시 해운대구 센텀2로 25, 센텀드림월드 302호 (우동)",051-715-8228,,129.132947,35.1669544
97,해원산부인과의원,의원,부산해운대구,"부산광역시 해운대구 운봉길 3, (반송동)",051-545-1217,,129.1490762,35.2303455
98,킴스피부과의원,의원,부산서구,"부산광역시 서구 대영로 54, 5층 (서대신동1가)",051-246-9999,,129.1315304,35.1678325
99,킴스피부과의원,의원,부산해운대구,"부산광역시 해운대구 센텀2로 10, 1001호 (우동, 센텀메디컬센터)",051-747-9699,,129.1315304,35.1678325
100,킴스피부과의원,의원,부산남구,"부산광역시 남구 수영로 297, 8층 (대연동, 텔콤빌딩)",051-611-9999,,129.1315304,35.1678325
101,치아발전소치과의원,치과의원,부산해운대구,"부산광역시 해운대구 해운대로 802, 웅신시네아트 5층 501,502호 (좌동)",051-711-0428,,129.1766569,35.1691635
102,함께하는치과의원,치과의원,부산해운대구,"부산광역시 해운대구 마린시티2로 33, 104동 428호 (우동, 해운대두산위브더제니스)",051-747-2822,http://friendsdental.co.kr,129.145091,35.156667
103,센텀코어의원,의원,부산해운대구,"부산광역시 해운대구 마린시티2로 38, 업무동 301호~302호,320호~322호 (우동, 해운대아이파크)",051-920-7799,,129.1425875,35.1565821
104,세지한의원,한의원,부산해운대구,"부산광역시 해운대구 양운로 98, 대하프라자 702호 (좌동)",051-741-7597,,129.1748353,35.1716411
105,센텀도담외과의원,의원,부산해운대구,"부산광역시 해운대구 센텀2로 10, 센텀메디컬센타 10층 1001호 일부호 (우동)",051-954-2000,,129.1315304,35.1678325
106,세진한의원,한의원,부산해운대구,"부산광역시 해운대구 재반로 111, (재송동)",051-781-0983,,129.1261939,35.1883111
107,김민수비뇨기과의원,의원,부산해운대구,"부산광역시 해운대구 해운대로61번길 106, 2층 (반여동)",051-782-9565,,129.129863,35.1946582
108,엘리움병원,병원,부산해운대구,"부산광역시 해운대구 해운대로 794, 7~8층 (좌동, 삼정엘리움)",051-791-1006,,129.1757451,35.168815
109,해운대산부인과의원,의원,부산해운대구,"부산광역시 해운대구 중동1로 30, (중동)",051-746-0052,,129.1625615,35.1626074
110,미소요양병원,요양병원,부산해운대구,"부산광역시 해운대구 아랫반송로6번길 37, (반송동)",051-543-9100,,129.1464996,35.2246667
111,김상민이비인후과의원,의원,부산해운대구,"부산광역시 해운대구 재반로 82, 3층 (재송동, 김상민이비인후과의원)",051-782-2656,,129.1257818,35.1860019
112,고운피부과의원,의원,부산해운대구,"부산광역시 해운대구 구남로29번길 26, 2층 (중동)",051-746-0243,,129.1619558,35.1622657
113,고운피부과의원,의원,부산진구,"부산광역시 부산진구 가야대로 767-1, 원광메디컬센터 7층 (부전동)",051-809-7575,,129.1619558,35.1622657
114,고운피부과의원,의원,부산영도구,"부산광역시 영도구 태종로 102, (대교동2가)",051-415-4001,,129.1619558,35.1622657
115,고운피부과의원,의원,부산동래구,"부산광역시 동래구 동래로 25, 8층 (온천동)",558-9001,,129.1619558,35.1622657
116,최가정의학과의원,의원,부산해운대구,"부산광역시 해운대구 재반로 248, 2층 (반여동)",051-783-9170,,129.131566,35.1992916
117,손영찬정형외과의원,의원,부산해운대구,"부산광역시 해운대구 좌동순환로 173, 7층 (좌동, 영풍프라자)",051-703-0017,,129.1752749,35.1781714
118,지창하비뇨기과의원,의원,부산해운대구,"부산광역시 해운대구 좌동순환로 174, 302호 (좌동, 거성프라자)",051-702-2017,,129.1750479,35.1776265
119,권순완소아청소년과의원,의원,부산해운대구,"부산광역시 해운대구 선수촌로 94, 201호 (반여동, 대룡빌딩)",051-528-6914,,129.1195631,35.2021038
120,마린안과의원,의원,부산해운대구,"부산광역시 해운대구 마린시티2로 2, 707~9호 (우동, 마린파크)",051-747-0979,http://www.홍인안과.kr,129.1442096,35.15934
121,길맥흉부외과의원,의원,부산해운대구,"부산광역시 해운대구 센텀남대로 50, 1502호 (우동)",051-754-9975,,129.1313001,35.1681037
122,굿모닝가정의원,의원,부산해운대구,"부산광역시 해운대구 재반로165번길 112, (재송동)",051-783-1988,,129.1243773,35.1914309
123,참조은내과의원,의원,부산연제구,"부산광역시 연제구 거제천로 89, 3층 (거제동)",051-851-7530,,129.1257818,35.1860019
124,참조은내과의원,의원,부산해운대구,"부산광역시 해운대구 재반로 82, (재송동, 장안빌딩 1층)",051-781-1080,,129.1257818,35.1860019
125,참조은내과의원,의원,부산북구,"부산광역시 북구 금곡대로 432, 4층 (금곡동)",051-714-7119,,129.1257818,35.1860019
126,바른정내과의원,의원,부산해운대구,"부산광역시 해운대구 선수촌로 7, 201,301,601호 (반여동, 반여메디컬센터)",051-528-3400,http://barum.drline.net,129.1185159,35.1944837
127,센텀외과의원,의원,부산해운대구,"부산광역시 해운대구 해운대로 407, 301호 (우동, 신세계프라자)",051-704-7222,,129.1406828,35.1678259
128,천리안안과의원,의원,부산해운대구,"부산광역시 해운대구 재반로 199, 2층 (반여동, 새아빌딩)",051-781-7575,,129.1304705,35.1951003
129,제이영의원,의원,부산해운대구,"부산광역시 해운대구 좌동순환로 505, 센트럴메디타워 9층 902~904호 (중동)",051-731-0075,,129.1682073,35.165667
130,수정형외과의원,의원,부산해운대구,"부산광역시 해운대구 해운대로 415, 5층 (우동)",051-711-7582,,129.1411817,35.1669113
131,서앤장센텀내과의원,의원,부산해운대구,"부산광역시 해운대구 해운대로 365, 301,401호 (우동)",051-715-1570,,129.1374368,35.1704318
132,태성형외과의원,의원,부산해운대구,"부산광역시 해운대구 구남로 27, 4층 (중동, 해운대오피스)",051-746-7004,http://pstae.co.kr,129.1608933,35.1617604
133,삼성제일산부인과의원,의원,부산해운대구,"부산광역시 해운대구 해운대로 369, 5층 (우동, 해운대센텀메디칼센타)",051-747-3999,,129.1377353,35.1702057
134,나래마취통증의학과의원,의원,부산해운대구,"부산광역시 해운대구 좌동순환로 505, 센트럴메디타워 505~508호 (중동)",051-701-5151,,129.1682073,35.165667
135,청담헤아린의원,의원,부산해운대구,"부산광역시 해운대구 센텀동로 9, 217-218호 (우동, 트럼프월드센텀아파트)",051-747-3111,,129.1324214,35.1703962
136,미시간치과의원,치과의원,부산해운대구,"부산광역시 해운대구 재반로 82, 2층 (재송동, 장안빌딩)",051-782-0075,,129.1257818,35.1860019
137,미시간치과의원,치과의원,부산해운대구,"부산광역시 해운대구 재반로 82, 2층 (재송동, 장안빌딩)",051-782-0075,,129.1750479,35.1776265
138,미시간치과의원,치과의원,부산사하구,"부산광역시 사하구 낙동대로 158, (괴정동)",051-206-1750,,129.1257818,35.1860019
139,미시간치과의원,치과의원,부산사하구,"부산광역시 사하구 낙동대로 158, (괴정동)",051-206-1750,,129.1750479,35.1776265
140,미시간치과의원,치과의원,부산연제구,"부산광역시 연제구 중앙대로 1111, 위드타워 5층 (연산동)",051-851-7528,,129.1257818,35.1860019
141,미시간치과의원,치과의원,부산연제구,"부산광역시 연제구 중앙대로 1111, 위드타워 5층 (연산동)",051-851-7528,,129.1750479,35.1776265
142,미시간치과의원,치과의원,부산해운대구,"부산광역시 해운대구 좌동순환로 174, 지하1층 (좌동, 거성플라자 )",702-0220,,129.1257818,35.1860019
143,미시간치과의원,치과의원,부산해운대구,"부산광역시 해운대구 좌동순환로 174, 지하1층 (좌동, 거성플라자 )",702-0220,,129.1750479,35.1776265
144,미시간치과의원,치과의원,부산진구,"부산광역시 부산진구 대학로 3, 세화빌딩 2층 202호 (가야동)",051-897-2283,,129.1257818,35.1860019
145,미시간치과의원,치과의원,부산진구,"부산광역시 부산진구 대학로 3, 세화빌딩 2층 202호 (가야동)",051-897-2283,,129.1750479,35.1776265
146,윤치과의원,치과의원,부산사하구,"부산광역시 사하구 신산로 197, 3층 (신평동)",051-206-4005,,129.1618749,35.1650706
147,윤치과의원,치과의원,부산금정구,"부산광역시 금정구 부곡로 112, 2층 (부곡동)",051-516-2882,,129.1618749,35.1650706
148,윤치과의원,치과의원,부산진구,"부산광역시 부산진구 새싹로 208, 3층 일부층 (초읍동)",051-791-2800,,129.1618749,35.1650706
149,윤치과의원,치과의원,부산남구,"부산광역시 남구 고동골로78번길 12, 3층 (문현동)",051-645-2875,,129.1618749,35.1650706
150,윤치과의원,치과의원,부산해운대구,"부산광역시 해운대구 해운대로 652, (우동)",051-742-3525,,129.1618749,35.1650706
